V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47
Baringo County,Bomet County,Bungoma County,Busia County,Elgeyo Marakwet County,Embu County,Garissa County,Homa Bay County,Isiolo County,Kajiado County,Kakamega County,Kericho County,Kiambu County,Kilifi County,Kirinyaga County,Kisii County,Kisumu County,Kitui County,Kwale County,Laikipia County,Lamu County,Machakos County,Makueni County,Mandera County,Marsabit County,Meru County,Migori County,Mombasa County,Muranga County,Nairobi County,Nakuru County,Nandi County,Narok County,Nyamira County,Nyandarua County,Nyeri County,Samburu County,Siaya County,Taita Taveta County,Tana River County,Tharaka Nithi County,Trans Nzoia County,Turkana County,Uasin Gishu County,Vihiga County,Wajir County,West Pokot County
  1795, 36113,339418, 29313,  2958, 18487,160003,461516,  9854, 33042,690220, 31566, 46882,130408, 16741,113653, 84626, 20237, 25049, 23261,  7064,110330, 52407,  2981, 14465,111876,180404, 43037, 16455,877598,410010, 83516, 65179, 77451,  8869, 44728,  4146,   946, 17868, 12293, 64829, 79020, 26070, 73041,   834, 58363, 13597
    616,1163702,1395763,  11812,   1638,   7946,   2393, 100107,   2738,  14698, 200858,  13379, 862251,1260380,   6940,  43725,  34525,  90174,   9326,  11389,   4643, 268335, 106177,  32480,   5005,  26133,1560475, 122327,   8153, 339812,1214103, 200316,  49617, 589136,   1269, 121348,    680,    959,   9448,   2820, 223063,  17363,  15510, 224319,    320,   1645,   7378
   1405,  33966, 236712,  13942,   2210, 535620,   4900,1872993,   7165, 426857, 325941,  17723,  37268,  95699,  11506,  49694,  56583, 605449,  12690,  77234,  55827,  97183,  40575,   3679,   9522, 159647, 144160,  12671,  13813,1449102, 337607,  51608,  56600,  51474,   2690,  38986,   3399,   1060,  12221,  52782,  20704, 484479,  22864,  34885,    565,   2954, 818137
   1125,  46474, 180446,  26518,   6609, 280322,   6513, 656048,   7256,  71455, 142272,  17450, 856969,2360349, 298095,1657409, 121442, 606929, 303399, 371091,   7851, 526866, 457386,   2495,  54631, 327125, 175622,1064874,  36462,2950224,2267329, 801726, 485838, 933498,   3493,  85918,  74232,    937,  62988,   7473,  92970,  91507,  67990,1164887,    449,   3769, 327535
  8350, 23405, 99707,  7826,   892,  5404,  3177, 72414,  3020, 17302,194182, 70129, 25288, 52829,  6513, 33317,266352, 17234,488491, 91590,  5240, 61747, 75363,   642,  5714, 20944, 34347,  7965,  9603,327605, 76956, 21076, 35961, 37176,  1482, 21526,   886,   666,  4633, 13024, 15389, 26996, 12730, 17516,   148,  1205,  2563
    154,  12107, 136520,   2410,    242,   1158,   1287,1051590,    614,  25221, 152141,   3133,  10033,  18918,   2064,  10258,   4476,   7614,   7349,   2729,   1362,   5550,   3182,    152,   1550,   4318,  13105,   4871,   2173, 131988,  11130,   6646,   2839, 324176,    240,   6983,    190,     39,   1526,   3465,   2123,  14061,  13718, 246558,     40,    100,   1351
   573, 19139,129635,  6701,   762,  3765,  2073, 92700,  2385, 20306, 35326,  6503, 21241, 41834,  3581, 27196, 19522, 13725,  7399,  6469,  4033,  8217,  9831,  2052,  3326, 88314, 28685,  9098,  5875,374661, 54444, 15964,133908, 23962,  1377, 13734,   734,   156,  5498, 12307,  6373, 25057, 18225, 13966,   135,   916,  2030
   392, 12427, 64085,  3174,   407,  1887,  6944, 38315,  6530,  8353, 23986,  5238, 54079, 83027, 29832, 14768, 10183, 21262,  6894,  3801,   265,  5421, 30471,   187,  1138,  7394, 18789, 27178, 21443,161041, 81014, 10520,  3487, 15637, 28646,  9418,   411,   764,  3214,  9494,  4538, 14517, 19015,  6577,   151,  1833,  3511
   5734,  15347,  32906,   2564,    836,   1473,   1237,  19517,    519,   6174,  16953,   5499,   9311,  18901,   2000,   7282,  15798,1061447,   2776, 260202,    262,   3059,  60053,    127,    472,  58910,3123847,  23463,   1847,  42006,  17194,   8036, 154016,   8726,    185,  36652,   3940,     93, 595204,   3360,   3128,  13711,  19757,  44223,    156,    103,   3630
