county,year,month,value
Baringo County,2019,1,4832
Bomet County,2019,1,855
Bungoma County,2019,1,26851
Busia County,2019,1,71686
Elgeyo Marakwet County,2019,1,1334
Embu County,2019,1,670
Garissa County,2019,1,398
Homa Bay County,2019,1,24765
Isiolo County,2019,1,1324
Kajiado County,2019,1,1141
Kakamega County,2019,1,76440
Kericho County,2019,1,3434
Kiambu County,2019,1,1266
Kilifi County,2019,1,23590
Kirinyaga County,2019,1,63
Kisii County,2019,1,12645
Kisumu County,2019,1,63498
Kitui County,2019,1,2503
Kwale County,2019,1,34982
Laikipia County,2019,1,309
Lamu County,2019,1,110
Machakos County,2019,1,1210
Makueni County,2019,1,2224
Mandera County,2019,1,1177
Marsabit County,2019,1,274
Meru County,2019,1,2433
Migori County,2019,1,38490
Mombasa County,2019,1,10202
Muranga County,2019,1,98
Nairobi County,2019,1,9329
Nakuru County,2019,1,4473
Nandi County,2019,1,15335
Narok County,2019,1,3132
Nyamira County,2019,1,1765
Nyandarua County,2019,1,109
Nyeri County,2019,1,66
Samburu County,2019,1,919
Siaya County,2019,1,87321
Taita Taveta County,2019,1,440
Tana River County,2019,1,1144
Tharaka Nithi County,2019,1,1706
Trans Nzoia County,2019,1,7303
Turkana County,2019,1,9858
Uasin Gishu County,2019,1,5195
Vihiga County,2019,1,25808
Wajir County,2019,1,144
West Pokot County,2019,1,4378
Baringo County,2019,2,3487
Bomet County,2019,2,831
Bungoma County,2019,2,29240
Busia County,2019,2,44770
Elgeyo Marakwet County,2019,2,1626
Embu County,2019,2,607
Garissa County,2019,2,534
Homa Bay County,2019,2,15497
Isiolo County,2019,2,1145
Kajiado County,2019,2,746
Kakamega County,2019,2,64299
Kericho County,2019,2,4005
Kiambu County,2019,2,1069
Kilifi County,2019,2,11386
Kirinyaga County,2019,2,43
Kisii County,2019,2,8192
Kisumu County,2019,2,45495
Kitui County,2019,2,2334
Kwale County,2019,2,27429
Laikipia County,2019,2,350
Lamu County,2019,2,48
Machakos County,2019,2,1208
Makueni County,2019,2,1911
Mandera County,2019,2,1126
Marsabit County,2019,2,48
Meru County,2019,2,2714
Migori County,2019,2,51618
Mombasa County,2019,2,9832
Muranga County,2019,2,123
Nairobi County,2019,2,5814
Nakuru County,2019,2,4048
Nandi County,2019,2,15203
Narok County,2019,2,3485
Nyamira County,2019,2,1821
Nyandarua County,2019,2,168
Nyeri County,2019,2,36
Samburu County,2019,2,618
Siaya County,2019,2,68468
Taita Taveta County,2019,2,309
Tana River County,2019,2,864
Tharaka Nithi County,2019,2,1891
Trans Nzoia County,2019,2,5559
Turkana County,2019,2,5530
Uasin Gishu County,2019,2,3680
Vihiga County,2019,2,24014
Wajir County,2019,2,88
West Pokot County,2019,2,2085
Baringo County,2019,3,5297
Bomet County,2019,3,979
Bungoma County,2019,3,33792
Busia County,2019,3,67346
Elgeyo Marakwet County,2019,3,1982
Embu County,2019,3,631
Garissa County,2019,3,344
Homa Bay County,2019,3,21451
Isiolo County,2019,3,1242
Kajiado County,2019,3,708
Kakamega County,2019,3,91436
Kericho County,2019,3,4873
Kiambu County,2019,3,1282
Kilifi County,2019,3,8206
Kirinyaga County,2019,3,86
Kisii County,2019,3,13870
Kisumu County,2019,3,57288
Kitui County,2019,3,2679
Kwale County,2019,3,20237
Laikipia County,2019,3,412
Lamu County,2019,3,76
Machakos County,2019,3,1126
Makueni County,2019,3,1603
Mandera County,2019,3,1321
Marsabit County,2019,3,83
Meru County,2019,3,2550
Migori County,2019,3,52723
Mombasa County,2019,3,8558
Muranga County,2019,3,127
Nairobi County,2019,3,7719
Nakuru County,2019,3,4207
Nandi County,2019,3,14402
Narok County,2019,3,4242
Nyamira County,2019,3,2140
Nyandarua County,2019,3,141
Nyeri County,2019,3,54
Samburu County,2019,3,754
Siaya County,2019,3,84647
Taita Taveta County,2019,3,167
Tana River County,2019,3,857
Tharaka Nithi County,2019,3,1865
Trans Nzoia County,2019,3,6806
Turkana County,2019,3,7744
Uasin Gishu County,2019,3,3613
Vihiga County,2019,3,30063
Wajir County,2019,3,106
West Pokot County,2019,3,2862
Baringo County,2019,4,4175
Bomet County,2019,4,759
Bungoma County,2019,4,41459
Busia County,2019,4,73580
Elgeyo Marakwet County,2019,4,701
Embu County,2019,4,353
Garissa County,2019,4,183
Homa Bay County,2019,4,17539
Isiolo County,2019,4,874
Kajiado County,2019,4,737
Kakamega County,2019,4,112358
Kericho County,2019,4,3591
Kiambu County,2019,4,1589
Kilifi County,2019,4,4573
Kirinyaga County,2019,4,85
Kisii County,2019,4,11825
Kisumu County,2019,4,57068
Kitui County,2019,4,2177
Kwale County,2019,4,12568
Laikipia County,2019,4,262
Lamu County,2019,4,27
Machakos County,2019,4,885
Makueni County,2019,4,1402
Mandera County,2019,4,1005
Marsabit County,2019,4,81
Meru County,2019,4,1445
Migori County,2019,4,38614
Mombasa County,2019,4,8116
Muranga County,2019,4,100
Nairobi County,2019,4,6021
Nakuru County,2019,4,3999
Nandi County,2019,4,13930
Narok County,2019,4,3919
Nyamira County,2019,4,1233
Nyandarua County,2019,4,172
Nyeri County,2019,4,66
Samburu County,2019,4,543
Siaya County,2019,4,84724
Taita Taveta County,2019,4,164
Tana River County,2019,4,628
Tharaka Nithi County,2019,4,1201
Trans Nzoia County,2019,4,6753
Turkana County,2019,4,7834
Uasin Gishu County,2019,4,3682
Vihiga County,2019,4,33242
Wajir County,2019,4,54
West Pokot County,2019,4,2223
Baringo County,2019,5,3923
Bomet County,2019,5,782
Bungoma County,2019,5,69337
Busia County,2019,5,100212
Elgeyo Marakwet County,2019,5,1072
Embu County,2019,5,363
Garissa County,2019,5,384
Homa Bay County,2019,5,23776
Isiolo County,2019,5,937
Kajiado County,2019,5,930
Kakamega County,2019,5,156135
