County,1-Jan,1-Feb,1-Mar,1-Apr,1-May,1-Jun,1-Jul,1-Aug,1-Sep,1-Oct,1-Nov,1-Dec,,,,,,,sum,,total contraceptives used in one year
Baringo County,1795,616,1405,1125,8350,154,573,392,5734,283,1696,1402,,,,,,,,,
Bomet County,36113,1163702,33966,46474,23405,12107,19139,12427,15347,11309,30268,29090,,,,,,,,,
Bungoma County,339418,1395763,236712,180446,99707,136520,129635,64085,32906,1407160,219842,226417,,,,,,,,,
Busia County,29313,11812,13942,26518,7826,2410,6701,3174,2564,2384,16124,17341,,,,,,,,,
Elgeyo Marakwet County,2958,1638,2210,6609,892,242,762,407,836,18524,2378,2292,,,,,,,,,
Embu County,18487,7946,535620,280322,5404,1158,3765,1887,1473,1772,13209,13234,,,,,,,,,
Garissa County,160003,2393,4900,6513,3177,1287,2073,6944,1237,1272,6031,5289,,,,,,,,,
Homa Bay County,461516,100107,1872993,656048,72414,1051590,92700,38315,19517,42041,133148,132942,,,,,,,,,
Isiolo County,9854,2738,7165,7256,3020,614,2385,6530,519,1414,3559,3563,,,,,,,,,
Kajiado County,33042,14698,426857,71455,17302,25221,20306,8353,6174,8890,38671,38072,,,,,,,,,
Kakamega County,690220,200858,325941,142272,194182,152141,35326,23986,16953,1287471,120191,127609,,,,,,,,,
Kericho County,31566,13379,17723,17450,70129,3133,6503,5238,5499,6844,19355,17356,,,,,,,,,
Kiambu County,46882,862251,37268,856969,25288,10033,21241,54079,9311,128058,150154,52440,,,,,,,,,
Kilifi County,130408,1260380,95699,2360349,52829,18918,41834,83027,18901,140781,439588,138747,,,,,,,,,
Kirinyaga County,16741,6940,11506,298095,6513,2064,3581,29832,2000,76404,12682,12764,,,,,,,,,
Kisii County,113653,43725,49694,1657409,33317,10258,27196,14768,7282,12689,2170710,125817,,,,,,,,,
Kisumu County,84626,34525,56583,121442,266352,4476,19522,10183,15798,7403,63133,50946,,,,,,,,,
Kitui County,20237,90174,605449,606929,17234,7614,13725,21262,1061447,7383,26999,25162,,,,,,,,,
Kwale County,25049,9326,12690,303399,488491,7349,7399,6894,2776,272122,20932,22103,,,,,,,,,
Laikipia County,23261,11389,77234,371091,91590,2729,6469,3801,260202,3098,37433,38232,,,,,,,,,
Lamu County,7064,4643,55827,7851,5240,1362,4033,265,262,1330,4698,4494,,,,,,,,,
Machakos County,110330,268335,97183,526866,61747,5550,8217,5421,3059,249652,120516,109967,,,,,,,,,
Makueni County,52407,106177,40575,457386,75363,3182,9831,30471,60053,5663,35013,26038,,,,,,,,,
Mandera County,2981,32480,3679,2495,642,152,2052,187,127,201,1795,2041,,,,,,,,,
Marsabit County,14465,5005,9522,54631,5714,1550,3326,1138,472,87501,6220,6492,,,,,,,,,
Meru County,111876,26133,159647,327125,20944,4318,88314,7394,58910,10979,35049,38752,,,,,,,,,
Migori County,180404,1560475,144160,175622,34347,13105,28685,18789,3123847,20253,316886,305179,,,,,,,,,
Mombasa County,43037,122327,12671,1064874,7965,4871,9098,27178,23463,60887,55163,56741,,,,,,,,,
Muranga County,16455,8153,13813,36462,9603,2173,5875,21443,1847,3333,20592,19967,,,,,,,,,
Nairobi County,877598,339812,1449102,2950224,327605,131988,374661,161041,42006,347522,408996,245501,,,,,,,,,
Nakuru County,410010,1214103,337607,2267329,76956,11130,54444,81014,17194,17076,435377,367916,,,,,,,,,
Nandi County,83516,200316,51608,801726,21076,6646,15964,10520,8036,591945,49858,46075,,,,,,,,,
Narok County,65179,49617,56600,485838,35961,2839,133908,3487,154016,3698,58828,49947,,,,,,,,,
Nyamira County,77451,589136,51474,933498,37176,324176,23962,15637,8726,15811,85040,86163,,,,,,,,,
Nyandarua County,8869,1269,2690,3493,1482,240,1377,28646,185,605,2780,2899,,,,,,,,,
Nyeri County,44728,121348,38986,85918,21526,6983,13734,9418,36652,586727,39998,42576,,,,,,,,,
Samburu County,4146,680,3399,74232,886,190,734,411,3940,333,2332,1946,,,,,,,,,
Siaya County,946,959,1060,937,666,39,156,764,93,125,6267,284,,,,,,,,,
Taita Taveta County,17868,9448,12221,62988,4633,1526,5498,3214,595204,255049,61538,63490,,,,,,,,,
Tana River County,12293,2820,52782,7473,13024,3465,12307,9494,3360,4146,7771,7987,,,,,,,,,
Tharaka Nithi County,64829,223063,20704,92970,15389,2123,6373,4538,3128,4486,34345,32796,,,,,,,,,
Trans Nzoia County,79020,17363,484479,91507,26996,14061,25057,14517,13711,540751,254181,191331,,,,,,,,,
Turkana County,26070,15510,22864,67990,12730,13718,18225,19015,19757,258795,472249,36666,,,,,,,,,
Uasin Gishu County,73041,224319,34885,1164887,17516,246558,13966,6577,44223,8199,45970,41464,,,,,,,,,
Vihiga County,834,320,565,449,148,40,135,151,156,178,536,343,,,,,,,,,
Wajir County,58363,1645,2954,3769,1205,100,916,1833,103,563,3303,2978,,,,,,,,,
West Pokot County,13597,7378,818137,327535,2563,1351,2030,3511,3630,3811,11805,11895,,,,,,,,,
