County_code,County,Prevalence
vvOK1BxTbet,Baringo County,567
KGHhQ5GLd4k,Bungoma County,3170
Hsk1YV8kHkT,Kajiado County,1925
ihZsJ8alvtb,Kericho County,1442
qKzosKQPl6G,Kiambu County,4538
nrI2khZx3d0,Kilifi County,2959
Ulj33KBau7V,Kirinyaga County,834
tAbBVBbueqD,Kisumu County,8836
j8o6iO4Njsi,Kitui County,1964
N7YETT3A9r1,Kwale County,1077
R6f9znhg37c,Mandera County,55
Y52XNJ50hYb,Meru County,2542
fVra3Pwta0Q,Migori County,6615
ahwTMNAJvrL,Muranga County,1216
ptWVfaCIdVx,Nyeri County,1556
kphDeKClFch,Turkana County,2359
CeLsrJOH0g9,Wajir County,3
XWALbfAPa6n,West Pokot County,855
