County_code,County,Prevalence
KGHhQ5GLd4k,Bungoma County,78
uyOrcHZBpW0,Garissa County,91
Hsk1YV8kHkT,Kajiado County,105
BjC1xL40gHo,Kakamega County,105
ihZsJ8alvtb,Kericho County,47
qKzosKQPl6G,Kiambu County,94
nrI2khZx3d0,Kilifi County,79
tAbBVBbueqD,Kisumu County,98
yhCUgGcCcOo,Machakos County,92
R6f9znhg37c,Mandera County,147
Eey8fT4Im3y,Marsabit County,127
wsBsC6gjHvn,Mombasa County,93
jkG3zaihdSs,Nairobi County,78
ob6SxuRcqU4,Nakuru County,91
u4t9H8XyU9P,Siaya County,105
T4urHM47nlm,Tharaka Nithi County,105
kphDeKClFch,Turkana County,47
KGHhQ5GLd4k,Bungoma County,94
uyOrcHZBpW0,Garissa County,79
BjC1xL40gHo,Kakamega County,98
qKzosKQPl6G,Kiambu County,92
tAbBVBbueqD,Kisumu County,147
j8o6iO4Njsi,Kitui County,127
R6f9znhg37c,Mandera County,93
Eey8fT4Im3y,Marsabit County,78
wsBsC6gjHvn,Mombasa County,91
jkG3zaihdSs,Nairobi County,105
mYZacFNIB3h,Nyandarua County,105
u4t9H8XyU9P,Siaya County,47
T4urHM47nlm,Tharaka Nithi County,94
