Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
vvOK1BxTbet,W0ChhvyVtSX,Baringo County,MOH 731   Discordant HV01-28,,6,17,5,3,1,7,2,3,3,,,2.45,4.72,9,13,22
HMNARUV2CW4,W0ChhvyVtSX,Bomet County,MOH 731   Discordant HV01-28,9,4,1,3,4,3,11,8,4,6,53,3,3.11,22.03,0,48,48
KGHhQ5GLd4k,W0ChhvyVtSX,Bungoma County,MOH 731   Discordant HV01-28,6,15,25,17,50,24,16,18,13,6,1,4,2.58,2.59,0,37,37
Tvf1zgVZ0K4,W0ChhvyVtSX,Busia County,MOH 731   Discordant HV01-28,9,20,19,11,7,5,10,6,6,6,9,5,2.07,4.05,0,24,24
MqnLxQBigG0,W0ChhvyVtSX,Elgeyo Marakwet County,MOH 731   Discordant HV01-28,2,6,9,2,1,,,1,,3,,,1.86,4.72,10,7,17
PFu8alU2KWG,W0ChhvyVtSX,Embu County,MOH 731   Discordant HV01-28,1,2,30,4,3,3,3,1,2,,2,1,2.99,18.89,2,28,30
uyOrcHZBpW0,W0ChhvyVtSX,Garissa County,MOH 731   Discordant HV01-28,2,2,,1,1,1,2,1,2,,,,0.94,0.67,6,0,6
nK0A12Q7MvS,W0ChhvyVtSX,Homa Bay County,MOH 731   Discordant HV01-28,33,45,66,24,81,50,66,264,39,64,53,55,3.07,11.8,0,212,212
bzOfj0iwfDH,W0ChhvyVtSX,Isiolo County,MOH 731   Discordant HV01-28,,,1,1,1,2,,,1,,,,1.79,0,7,0,7
Hsk1YV8kHkT,W0ChhvyVtSX,Kajiado County,MOH 731   Discordant HV01-28,6,11,21,10,11,10,5,20,10,11,6,10,2.03,7.42,0,23,23
BjC1xL40gHo,W0ChhvyVtSX,Kakamega County,MOH 731   Discordant HV01-28,16,19,31,17,15,87,15,5,17,15,9,23,3.03,23.78,0,74,74
ihZsJ8alvtb,W0ChhvyVtSX,Kericho County,MOH 731   Discordant HV01-28,2,5,9,12,4,1,4,8,6,5,3,5,2.16,3.15,0,7,7
qKzosKQPl6G,W0ChhvyVtSX,Kiambu County,MOH 731   Discordant HV01-28,20,19,23,21,25,37,18,27,28,75,23,12,2.94,8.77,0,52,52
Ulj33KBau7V,W0ChhvyVtSX,Kirinyaga County,MOH 731   Discordant HV01-28,4,8,3,7,10,3,5,1,7,3,4,4,1.97,4.05,0,6,6
tAbBVBbueqD,W0ChhvyVtSX,Kisumu County,MOH 731   Discordant HV01-28,33,29,38,56,25,38,37,17,9,20,37,21,2.07,2.41,0,28,28
j8o6iO4Njsi,W0ChhvyVtSX,Kitui County,MOH 731   Discordant HV01-28,37,12,14,9,17,15,11,11,5,9,42,15,2.26,6.52,0,55,55
N7YETT3A9r1,W0ChhvyVtSX,Kwale County,MOH 731   Discordant HV01-28,,6,4,8,5,4,138,20,6,10,8,3,2.99,44.52,6,146,152
