Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
vvOK1BxTbet,m1U1MJZoK9Q,Baringo County,HCD - Combined Oral contraceptive Pills,926,427,665,824,6567,146,354,228,5689,231,929,945,2.31,11.09,0,11121,11121
HMNARUV2CW4,m1U1MJZoK9Q,Bomet County,HCD - Combined Oral contraceptive Pills,744,25608,696,1053,549,197,450,317,10964,377,1444,1488,2.92,45.01,0,35109,35109
KGHhQ5GLd4k,m1U1MJZoK9Q,Bungoma County,HCD - Combined Oral contraceptive Pills,2613,14130,2022,2529,1357,618,38745,920,837,39009,6680,6778,2.07,13.33,0,83766,83766
MqnLxQBigG0,m1U1MJZoK9Q,Elgeyo Marakwet County,HCD - Combined Oral contraceptive Pills,1273,554,997,1207,500,135,438,213,390,18039,1104,1156,3.16,30.4,0,17315,17315
PFu8alU2KWG,m1U1MJZoK9Q,Embu County,HCD - Combined Oral contraceptive Pills,3331,1273,1959,18894,1554,489,1179,669,503,638,3724,3770,3.08,13.99,0,17159,17159
uyOrcHZBpW0,m1U1MJZoK9Q,Garissa County,HCD - Combined Oral contraceptive Pills,7832,139,322,410,309,197,322,5996,278,285,647,679,2.47,47.56,0,13110,13110
nK0A12Q7MvS,m1U1MJZoK9Q,Homa Bay County,HCD - Combined Oral contraceptive Pills,4259,512,21589,1417,987,16507,29114,506,325,595,1831,1886,2.26,16.63,0,63104,63104
bzOfj0iwfDH,m1U1MJZoK9Q,Isiolo County,HCD - Combined Oral contraceptive Pills,410,34,374,290,205,20,62,4426,24,47,466,520,3.14,13.62,0,4203,4203
Hsk1YV8kHkT,m1U1MJZoK9Q,Kajiado County,HCD - Combined Oral contraceptive Pills,2603,931,36515,2601,1647,5460,2810,913,876,1026,3294,2974,3.15,18.08,0,34230,34230
ihZsJ8alvtb,m1U1MJZoK9Q,Kericho County,HCD - Combined Oral contraceptive Pills,1099,570,722,698,15506,150,513,191,236,341,1417,1383,3.16,23.86,0,14841,14841
